epoch,train_loss,val_loss,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
86,4.201228119224631,4.254553629801824,0.0,0.045,0.86,0.67,0.395,0.215,0.165,0.105,0.5,0.295
87,4.194688258119808,4.250925215391012,0.0,0.045,0.87,0.715,0.43,0.2,0.145,0.115,0.485,0.35
88,4.192586063056864,4.25034236907959,0.0,0.045,0.82,0.655,0.46,0.205,0.21,0.09,0.47,0.35
89,4.189479058275941,4.245924298579876,0.0,0.06,0.875,0.7,0.42,0.195,0.175,0.105,0.495,0.36
90,4.181318938860329,4.241840738516587,0.0,0.06,0.795,0.675,0.45,0.21,0.195,0.115,0.495,0.345
91,4.1815343754265895,4.238253969412583,0.0,0.065,0.855,0.635,0.39,0.215,0.165,0.085,0.495,0.315
92,4.178631939426545,4.236140012741089,0.0,0.06,0.85,0.63,0.44,0.22,0.16,0.12,0.48,0.35
93,4.176144752707533,4.235020761306469,0.0,0.065,0.84,0.69,0.435,0.205,0.205,0.105,0.51,0.365
94,4.167909367366503,4.232763730562651,0.0,0.065,0.82,0.685,0.435,0.22,0.18,0.095,0.48,0.325
95,4.161859608209261,4.230571719316336,0.0,0.065,0.85,0.67,0.455,0.215,0.18,0.12,0.515,0.35
96,4.15672839841535,4.228979179492364,0.0,0.07,0.865,0.68,0.425,0.22,0.155,0.115,0.51,0.365
97,4.152815816735709,4.226333943697123,0.0,0.08,0.835,0.675,0.44,0.225,0.16,0.145,0.515,0.365
98,4.152826629659181,4.2269624792612515,0.0,0.075,0.88,0.7,0.44,0.22,0.17,0.14,0.5,0.33
99,4.148399438652941,4.22291406759849,0.0,0.075,0.865,0.67,0.465,0.215,0.165,0.13,0.535,0.325
100,4.143871182780112,4.222624462384444,0.0,0.075,0.855,0.67,0.415,0.215,0.15,0.11,0.5,0.365
101,4.137977501141128,4.218545267215142,0.0,0.08,0.84,0.685,0.46,0.225,0.185,0.105,0.545,0.37
102,4.141044238305861,4.2181596389183635,0.0,0.07,0.885,0.7,0.475,0.23,0.195,0.115,0.55,0.345
103,4.133495503087198,4.213949437324818,0.0,0.07,0.87,0.715,0.415,0.235,0.19,0.11,0.54,0.385
104,4.1287582725606935,4.212593133632954,0.0,0.08,0.85,0.71,0.505,0.235,0.175,0.12,0.525,0.365
105,4.121938535731326,4.210814407238593,0.0,0.075,0.82,0.685,0.5,0.24,0.205,0.14,0.53,0.38
106,4.124988245194958,4.210022770441496,0.0,0.085,0.885,0.76,0.495,0.225,0.2,0.135,0.52,0.365
107,4.122011539500247,4.208009495184972,0.0,0.085,0.85,0.665,0.495,0.23,0.21,0.1,0.535,0.39
108,4.116264285836168,4.210875800022712,0.0,0.085,0.85,0.675,0.48,0.25,0.185,0.14,0.545,0.365
109,4.1154216294647545,4.211228907108307,0.0,0.08,0.835,0.705,0.425,0.245,0.23,0.13,0.54,0.38
110,4.109552246524442,4.215429906661694,0.0,0.075,0.83,0.705,0.48,0.235,0.175,0.125,0.545,0.375
111,4.108534613988732,4.206057071685791,0.0,0.08,0.87,0.69,0.47,0.245,0.18,0.105,0.54,0.4
112,4.103285693096858,4.201716927381662,0.0,0.095,0.825,0.715,0.435,0.23,0.205,0.105,0.55,0.405
113,4.099001080502746,4.201310767577245,0.0,0.09,0.89,0.71,0.465,0.24,0.155,0.135,0.56,0.395
114,4.092097272155105,4.200419701062716,0.0,0.09,0.9,0.72,0.485,0.245,0.185,0.145,0.55,0.39
115,4.095993596251293,4.198965466939486,0.0,0.085,0.835,0.71,0.435,0.245,0.22,0.14,0.55,0.4
